ObjectNum,Name,Type,Constellation,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Magnitude,Info,AlphaLabel,Distance (ly),Label
78,NGC 2068,Diffuse Nebula,Orion,5,46.7,+,0,3,8.3,Size: 8x6,1,1.600,M78
79,NGC 1904,Globular Cluster,Lepus,5,24.5,-,24,33,7.7,Size: 8.7,1,41.100,M79
80,NGC 6093,Globular Cluster,Scorpius,16,17,-,22,59,7.3,Size: 8.9,1,27.400,M80
81,NGC 3031 Bode¹s Galaxy,Spiral Galaxy,Ursa Major,9,55.6,+,69,4,6.9,Size: 21x10,1,12.000.000,M81
82,NGC 3034 Cigar Galaxy,Irregular Galaxy,Ursa Major,9,55.8,+,69,41,8.4,Size: 9.x4,0,12.000.000,M82
83,NGC 5236 Southern Pinwheel Galaxy,Spiral Galaxy,Hydra,13,37,-,29,52,7.6,Size: 11x10,1,15.000.000,M83
84,NGC 4374,Lenticular (S0) Galaxy,Virgo,12,25.1,+,12,53,9.1,Size: 5,0,60.000.000,M84
85,NGC 4382,Lenticular (S0) Galaxy,Coma Berenices,12,25.4,+,18,11,9.1,Size: 7.1x5.2,1,60.000.000,M85
86,NGC 4406,Lenticular (S0) Galaxy,Virgo,12,26.2,+,12,57,8.9,Size: 7.5x5.5,0,60.000.000,M86
87,NGC 4486 Virgo A,Elliptical Galaxy,Virgo,12,30.8,+,12,24,8.6,Size: 7,1,60.000.000,M87/M86
88,NGC 4501,Spiral Galaxy,Coma Berenices,12,32,+,14,25,9.6,Size: 7x4,1,60.000.000,M88
89,NGC 4552,Elliptical Galaxy,Virgo,12,35.7,+,12,33,9.8,Size: 4,0,60.000.000,M89
90,NGC 4569,Spiral Galaxy,Virgo,12,36.8,+,13,10,9.5,Size: 9.5x4.5,0,60.000.000,M90
91,NGC 4548,Spiral Galaxy,Coma Berenices,12,35.4,+,14,30,10.2,Size: 5.4x4.4,0,60.000.000,
92,NGC 6341,Globular Cluster,Hercules,17,17.1,+,43,8,6.4,Size: 11.2,1,26.400,M92
93,NGC 2447,Open Cluster,Puppis,7,44.6,-,23,52,6,Size: 22,1,3.600,M93
94,NGC 4736,Spiral Galaxy,Canes Venatici,12,50.9,+,41,7,8.2,Size: 7x3,1,14.500.000,M94
95,NGC 3351,Spiral Galaxy,Leo,10,44,+,11,42,9.7,Size: 4.4x3.3,0,38.000.000,M95
96,NGC 3368,Spiral Galaxy,Leo,10,46.8,+,11,49,9.2,Size: 6x4,1,38.000.000,M96
97,NGC 3587 Owl Nebula,Planetary Nebula,Ursa Major,11,14.8,+,55,1,9.9,Size: 3.4x3.3,1,2.600,M97
98,NGC 4192,Spiral Galaxy,Coma Berenices,12,13.8,+,14,54,10.1,Size: 9.5x3.2,0,60.000.000,
99,NGC 4254,Spiral Galaxy,Coma Berenices,12,18.8,+,14,25,9.9,Size: 5.4x4.8,0,60.000.000,
100,NGC 4321,Spiral Galaxy,Coma Berenices,12,22.9,+,15,49,9.3,Size: 7x6,1,60.000.000,M100
101,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,Ursa Major,14,3.2,+,54,21,7.9,Size: 22,1,27.000.000,M10
102,NGC 5866 Spindle Galaxy,Lenticular (S0) Galaxy,Draco,15,6.5,+,55,46,9.9,Size: 5.2x2.3,1,40.000.000,M102
103,NGC 581,Open Cluster,Cassiopeia,1,33.2,+,60,42,7.4,Size: 6,1,8.000,M103
104,NGC 4594 Sombrero Galaxy,Spiral Galaxy,Virgo,12,40,-,11,37,8,Size: 9x4,1,50.000.000,M104
105,NGC 3379,Elliptical Galaxy,Leo,10,47.8,+,12,35,9.3,Size: 2,0,38.000.000,M105
106,NGC 4258,Spiral Galaxy,Canes Venatici,12,19,+,47,18,8.4,Size: 19x8,1,25.000.000,M106
107,NGC 6171,Globular Cluster,Ophiucus,16,32.5,-,13,3,7.9,Size: 10,1,19.600,M107
108,NGC 3556,Spiral Galaxy,Ursa Major,11,11.5,+,55,40,10,Size: 8x1,0,45.000.000,M108
109,NGC 3992,Spiral Galaxy,Ursa Major,11,57.6,+,53,23,9.8,Size: 7x4,1,55.000.000,M109
110,NGC 205 Satellite of M31,Elliptical Galaxy,Andromeda,0,40.4,+,41,41,8.5,Size: 17x10,0,2.900.000,
