HR,Name,Const,RAh,RAmin,RAs,DEd,DEm,DEs,V,BminusV,RA,Hemisphere,DEC
5596,,,14,50,20.4,82,30,43,5.64,0.68,14.839,1,82.51194444
5597,,,15,0,38.7,47,16,40,6.37,-0.14,15.01075,1,47.27777778
5598,,,15,7,8.7,-71,54,19,6.52,1.59,15.11908333,-1,-71.90527778
5599,,,15,2,44.9,-3,1,53,6.61,0.2,15.04580556,-1,-3.031388889
5600,41Ome,Boo,15,2,6.5,25,0,29,4.81,1.5,15.03513889,1,25.00805556
56011,10,Vir,15,2,54,2,5,29,4.4,1.04,15.04833333,1,2.091388889
5602,42Bet,Boo,15,1,56.8,40,23,26,3.5,0.97,15.03244444,1,40.39055556
5603,20Sig,Lib,15,4,4.2,-25,16,55,3.29,1.7,15.06783333,-1,-25.28194444
5604,,,15,4,42.9,-40,51,41,6.41,1.46,15.07858333,-1,-40.86138889
5605,Pi,Lup,15,5,7.2,-47,3,4,4.72,-0.14,15.08533333,-1,-47.05111111
5606,Pi,Lup,15,5,7.2,-47,3,4,4.82,,15.08533333,-1,-47.05111111
5607,,,15,5,19.1,-41,4,2,5.15,1.01,15.08863889,-1,-41.06722222
5608,,,15,1,27.1,60,12,16,5.93,0.09,15.02419444,1,60.20444444
5609,,,15,3,6.1,35,12,21,5.51,1.02,15.05169444,1,35.20583333
5610,,,15,4,6.4,5,29,33,6.5,0.31,15.06844444,1,5.4925
5611,,,15,7,56.8,-65,16,32,6.17,1.47,15.13244444,-1,-65.27555556
5612,,,15,3,6.6,44,38,40,6.65,0.46,15.05183333,1,44.64444444
5613,,,15,3,36.5,34,33,58,6.59,1.02,15.06013889,1,34.56611111
5614,,,15,5,47.7,-25,47,23,6.67,-0.01,15.09658333,-1,-25.78972222
5615,,,15,6,13.9,-36,15,51,6.27,1.65,15.10386111,-1,-36.26416667
5616,43Psi,Boo,15,4,26.7,26,56,51,4.54,1.24,15.07408333,1,26.9475
5617,,,15,7,25.9,-49,5,18,5.77,0.92,15.12386111,-1,-49.08833333
5618,44,Boo,15,3,47.4,47,39,16,4.76,0.65,15.06316667,1,47.65444444
5619,,,15,6,33.3,-30,55,8,5.96,-0.08,15.10925,-1,-30.91888889
5620,,,15,6,27.1,-22,1,55,6.17,1.05,15.10752778,-1,-22.03194444
5621,,,15,9,29.9,-67,5,3,5.76,0.69,15.15830556,-1,-67.08416667
5622,21Nu,Lib,15,6,37.6,-16,15,25,5.2,1.58,15.11044444,-1,-16.25694444
5623,,,15,9,25.5,-63,38,34,6.28,0.06,15.15708333,-1,-63.64277778
5624,,,15,8,12.1,-40,35,2,5.79,-0.14,15.13669444,-1,-40.58388889
5625,,,15,8,39.1,-42,52,4,5.85,-0.11,15.14419444,-1,-42.86777778
5626,Lam,Lup,15,8,50.6,-45,16,47,4.05,-0.18,15.14738889,-1,-45.27972222
5627,47,Boo,15,5,25.8,48,9,4,5.57,0,15.0905,1,48.15111111
5628,,,15,12,33.8,-72,46,13,6.01,0,15.20938889,-1,-72.77027778
5629,,,15,3,57.8,65,55,11,6.13,,15.06605556,1,65.91972222
5630,,,15,6,35.1,36,27,20,6.35,0.52,15.10975,1,36.45555556
5631,,,15,7,40.3,5,29,53,6.16,0.94,15.12786111,1,5.498055556
5632,,,15,10,44.6,-61,25,21,6.3,0.63,15.17905556,-1,-61.4225
5633,,,15,7,20.4,18,26,30,6.02,0.06,15.12233333,1,18.44166667
5634,45,Boo,15,7,18.1,24,52,9,4.93,0.43,15.12169444,1,24.86916667
5635,,,15,6,16.7,54,33,23,5.25,0.96,15.10463889,1,54.55638889
5636,,,15,10,7.5,-38,47,33,5.98,,15.16875,-1,-38.7925
5637,,,15,11,16,-55,20,46,5.54,1.14,15.18777778,-1,-55.34611111
5638,46,Boo,15,8,23.8,26,18,4,5.67,1.24,15.13994444,1,26.30111111
5639,,,15,8,53.4,13,14,6,6.1,0.96,15.14816667,1,13.235
5640,,,15,8,35.5,25,6,31,5.81,1.24,15.14319444,1,25.10861111
5641,,,15,10,18.6,-26,19,58,5.76,1.05,15.17183333,-1,-26.33277778
5642,,,15,11,34.9,-45,16,39,6.44,1.04,15.19302778,-1,-45.2775
5643,,,15,11,31.9,-45,16,46,7.39,1.08,15.19219444,-1,-45.27944444
5644,,,15,14,19.1,-70,4,46,5.81,3.38,15.23863889,-1,-70.07944444
5645,,,15,13,1,-61,44,38,6.32,1.9,15.21694444,-1,-61.74388889
5646,Kap1,Lup,15,11,56.1,-48,44,16,3.87,-0.05,15.19891667,-1,-48.73777778
5647,Kap2,Lup,15,11,57.6,-48,44,37,5.69,0.14,15.19933333,-1,-48.74361111
5648,,,15,8,19.5,50,3,18,6.39,1.03,15.13875,1,50.055
5649,Zet,Lup,15,12,17.1,-52,5,57,3.41,0.92,15.20475,-1,-52.09916667
5650,,,15,12,31.3,-48,13,7,6.33,1.12,15.20869444,-1,-48.21861111
5651,,,15,12,49.5,-44,30,2,4.82,-0.17,15.21375,-1,-44.50055556
5652,24Iot1,Lib,15,12,13.3,-19,47,30,4.54,-0.08,15.20369444,-1,-19.79166667
5653,,,15,13,7.4,-36,5,29,6.1,-0.08,15.21872222,-1,-36.09138889
5654,,,15,12,4.3,18,58,33,5.89,1.53,15.20119444,1,18.97583333
5655,,,15,13,17.5,-24,0,30,6.47,-0.04,15.22152778,-1,-24.00833333
5656,25Iot2,Lib,15,13,19.2,-19,38,51,6.08,0.12,15.222,-1,-19.6475
5657,23,Lib,15,13,28.7,-25,18,33,6.45,0.7,15.22463889,-1,-25.30916667
5658,,,15,13,53.3,-26,11,37,5.84,1.14,15.23147222,-1,-26.19361111
5659,,,15,12,43.5,19,17,9,6.68,0.68,15.21208333,1,19.28583333
5660,1,Lup,15,14,37.3,-31,31,9,4.91,0.37,15.24369444,-1,-31.51916667
5661,,,15,16,36.4,-60,54,14,5.73,-0.08,15.27677778,-1,-60.90388889
5662,26,Lib,15,14,33.7,-17,46,7,6.17,-0.05,15.24269444,-1,-17.76861111
5663,,,15,15,53.8,-48,4,27,5.95,0.21,15.26494444,-1,-48.07416667
5664,Del,Cir,15,16,56.7,-60,57,27,5.09,-0.06,15.28241667,-1,-60.9575
5665,,,15,13,31.9,22,59,0,6.3,0.06,15.22552778,1,22.98333333
5666,Eps,Cir,15,17,38.9,-63,36,38,4.86,1.25,15.29413889,-1,-63.61055556
5667,,,15,16,4,-41,29,28,5.16,0.58,15.26777778,-1,-41.49111111
5668,,,15,16,10.5,-43,29,5,6.04,-0.14,15.26958333,-1,-43.48472222
5669,,,15,14,50.7,-5,30,10,6.28,1.47,15.24741667,-1,-5.502777778
5670,Bet,Cir,15,17,30.8,-58,48,4,4.07,0.09,15.29188889,-1,-58.80111111
5671,Gam,TrA,15,18,54.6,-68,40,46,2.89,0,15.31516667,-1,-68.67944444
5672,,,15,10,44.1,67,46,53,6.17,,15.17891667,1,67.78138889
5673,,,15,13,35.6,38,15,53,6.2,1.2,15.22655556,1,38.26472222
5674,,,15,14,6.1,31,47,17,5.99,1.52,15.23502778,1,31.78805556
5675,3,Ser,15,15,11.4,4,56,22,5.33,1.09,15.25316667,1,4.939444444
5676,48Chi,Boo,15,14,29.2,29,9,51,5.26,0.03,15.24144444,1,29.16416667
5677,,,15,14,10.3,42,10,17,6.13,1.66,15.23619444,1,42.17138889
5678,,,15,16,23,-22,23,58,5.5,1.38,15.27305556,-1,-22.39944444
5679,4,Ser,15,15,49.1,0,22,20,5.63,0.18,15.26363889,1,0.3722222222
5680,,,15,18,48.9,-60,29,47,5.46,-0.1,15.31358333,-1,-60.49638889
5681,49Del,Boo,15,15,30.2,33,18,53,3.47,0.95,15.25838889,1,33.31472222
5682,,,15,18,9.4,-41,3,39,6.28,0.18,15.30261111,-1,-41.06083333
5683,Mu,Lup,15,18,32,-47,52,30,4.27,-0.08,15.30888889,-1,-47.875
5684,,,15,20,40.7,-67,28,53,6.28,-0.09,15.34463889,-1,-67.48138889
5685,27Bet,Lib,15,17,0.4,-9,22,59,2.61,-0.11,15.28344444,-1,-9.383055556
5686,2,Lup,15,17,49.9,-30,8,56,4.34,1.1,15.29719444,-1,-30.14888889
5687,,,15,18,56.4,-40,47,18,5.59,-0.1,15.31566667,-1,-40.78833333
