HR,Name,Const,RAh,RAmin,RAs,DEd,DEm,DEs,V,BminusV,RA,Hemisphere,DEC
1315,,,4,14,36.3,10,0,40,5.22,-0.1,4.243416667,1,10.01111111
1316,,,4,12,31.6,-44,22,6,6.71,1.48,4.208777778,-1,-44.36833333
1317,,,4,27,2.8,80,49,27,5.43,1.17,4.450777778,1,80.82416667
1318,39,Eri,4,14,23.7,-10,15,23,4.87,1.17,4.239916667,-1,-10.25638889
1319,48,Tau,4,15,46.3,15,24,2,6.32,0.4,4.262861111,1,15.40055556
1320,49Mu,Tau,4,15,32.1,8,53,32,4.29,-0.06,4.258916667,1,8.892222222
1321,,,4,15,25.8,6,11,59,6.93,0.7,4.257166667,1,6.199722222
1322,,,4,15,29.2,6,11,12,6.31,0.59,4.258111111,1,6.186666667
1323,,,4,13,35.7,-40,21,28,6.37,1.46,4.226583333,-1,-40.35777778
1324,,,4,18,14.6,50,17,44,4.61,0.04,4.304055556,1,50.29555556
1325,40Omi2,Eri,4,15,16.3,-7,39,10,4.43,0.82,4.254527778,-1,-7.652777778
1326,Alp,Hor,4,14,0.1,-42,17,40,3.86,1.1,4.233361111,-1,-42.29444444
1327,,,4,20,40.3,65,8,26,5.27,0.81,4.344527778,1,65.14055556
1328,,,4,18,8.2,42,8,28,6.22,-0.08,4.302277778,1,42.14111111
1329,50Ome2,Tau,4,17,15.6,20,34,43,4.94,0.26,4.287666667,1,20.57861111
1330,,,4,19,13.3,50,2,56,5.45,0.22,4.320361111,1,50.04888889
1331,51,Tau,4,18,23.2,21,34,45,5.65,0.28,4.306444444,1,21.57916667
1332,,,4,17,19.2,-6,28,19,5.94,1.08,4.288666667,-1,-6.471944444
1333,,,4,20,11.5,50,55,15,5.55,-0.01,4.336527778,1,50.92083333
1334,,,4,18,24.5,9,29,12,6.54,0.16,4.306805556,1,9.486666667
1335,,,4,21,47.6,60,44,8,5.39,1.49,4.363222222,1,60.73555556
1336,Alp,Ret,4,14,25.5,-62,28,26,3.35,0.91,4.240416667,-1,-62.47388889
1337,,,4,20,14.4,41,48,29,5.92,0.94,4.337333333,1,41.80805556
1338,Gam,Dor,4,16,1.6,-51,29,12,4.25,0.3,4.267111111,-1,-51.48666667
1339,53,Tau,4,19,26.1,21,8,32,5.35,-0.08,4.323916667,1,21.14222222
1340,,,4,14,48.7,-62,11,31,5.45,1.1,4.246861111,-1,-62.19194444
1341,56,Tau,4,19,36.7,21,46,25,5.38,-0.14,4.326861111,1,21.77361111
1342,,,4,21,51.8,56,30,24,5.88,,4.364388889,1,56.50666667
1343,54,Per,4,20,24.6,34,34,0,4.93,0.94,4.340166667,1,34.56666667
1344,,,4,20,10,31,57,12,6.16,1.71,4.336111111,1,31.95333333
1345,,,4,18,15.9,-20,42,56,6,1.67,4.304416667,-1,-20.71555556
1346,54Gam,Tau,4,19,47.6,15,37,39,3.65,0.99,4.329888889,1,15.6275
1347,41Ups4,Eri,4,17,53.7,-33,47,54,3.56,-0.12,4.29825,-1,-33.79833333
1348,52Phi,Tau,4,20,21.3,27,21,3,4.95,1.15,4.33925,1,27.35083333
1349,,,4,19,37.5,10,7,17,6.31,1.43,4.327083333,1,10.12138889
1350,53,Per,4,21,33.2,46,29,56,4.85,-0.03,4.359222222,1,46.49888889
1351,57,Tau,4,19,57.7,14,2,7,5.59,0.28,4.332694444,1,14.03527778
1352,,,4,22,57.9,59,36,59,6.19,,4.38275,1,59.61638889
1353,,,4,18,37.4,-22,58,13,6.07,0.3,4.310388889,-1,-22.97027778
1354,,,4,20,25.1,18,44,33,6.12,0.37,4.340305556,1,18.7425
1355,Eps,Ret,4,16,28.9,-59,18,7,4.44,1.08,4.274694444,-1,-59.30194444
1356,58,Tau,4,20,36.3,15,5,43,5.26,0.22,4.343416667,1,15.09527778
1357,,,4,16,21.1,-60,56,55,6.37,0.07,4.272527778,-1,-60.94861111
1358,,,4,20,52.8,13,51,51,6.17,0.46,4.348,1,13.86416667
1359,,,4,19,3,-33,54,18,6.37,0.13,4.3175,-1,-33.905
1360,,,4,20,41.2,6,7,51,5.77,0.92,4.344777778,1,6.130833333
1361,,,4,20,49,9,13,32,6.53,0.15,4.346944444,1,9.225555556
1362,,,4,20,38.7,-6,14,44,6.27,0.91,4.344083333,-1,-6.245555556
1363,,,4,20,42.8,-7,35,33,5.85,-0.13,4.345222222,-1,-7.5925
1364,,,4,19,16.6,-44,16,5,5.34,1.08,4.321277778,-1,-44.26805556
1365,,,4,18,40,-52,51,36,6.09,0.49,4.311111111,-1,-52.86
1366,,,4,21,27.1,0,5,53,5.86,1.32,4.357527778,1,0.09805555556
1367,,,4,20,39,-20,38,23,5.38,-0.02,4.344166667,-1,-20.63972222
1368,60,Tau,4,22,3.5,14,4,38,5.72,0.32,4.367638889,1,14.07722222
1369,59Chi,Tau,4,22,34.9,25,37,45,5.37,-0.05,4.376361111,1,25.62916667
1370,,,4,22,22.8,20,49,17,5.91,1.66,4.373,1,20.82138889
1371,,,4,23,35.9,42,25,41,6.23,0,4.393305556,1,42.42805556
1372,The,Ret,4,17,40.2,-63,15,20,5.87,-0.07,4.2945,-1,-63.25555556
1373,61Del1,Tau,4,22,56.1,17,32,33,3.76,0.98,4.38225,1,17.5425
1374,,,4,21,31.3,-25,43,42,6.01,0.35,4.358694444,-1,-25.72833333
1375,,,4,23,32.4,20,58,56,5.99,0.03,4.392333333,1,20.98222222
1376,63,Tau,4,23,25,16,46,38,5.64,0.3,4.390277778,1,16.77722222
1377,55,Per,4,24,29.2,34,7,50,5.73,-0.06,4.408111111,1,34.13055556
1378,62,Tau,4,23,59.8,24,18,4,6.36,0.17,4.399944444,1,24.30111111
1379,56,Per,4,24,37.4,33,57,35,5.76,0.4,4.410388889,1,33.95972222
1380,64Del2,Tau,4,24,5.8,17,26,38,4.8,0.15,4.401611111,1,17.44388889
1381,66,Tau,4,23,51.9,9,27,39,5.12,0.07,4.39775,1,9.460833333
1382,,,4,27,0.9,57,35,7,6.32,0.04,4.45025,1,57.58527778
1383,42Xi,Eri,4,23,40.8,-3,44,44,5.17,0.08,4.394666667,-1,-3.745555556
1384,,,4,23,5.7,-24,53,32,5.83,1.51,4.384916667,-1,-24.89222222
1385,,,4,24,57.1,19,2,30,5.98,0.37,4.415861111,1,19.04166667
1386,,,4,23,7.7,-35,32,42,6.39,1.24,4.385472222,-1,-35.545
1387,65Kap1,Tau,4,25,22.1,22,17,38,4.22,0.13,4.422805556,1,22.29388889
1388,67Kap2,Tau,4,25,25,22,11,59,5.28,0.25,4.423611111,1,22.19972222
1389,68Del3,Tau,4,25,29.4,17,55,41,4.29,0.05,4.424833333,1,17.92805556
1390,,,4,26,6.3,31,26,20,5.28,0.97,4.435083333,1,31.43888889
1391,70,Tau,4,25,37.3,15,56,27,6.46,0.49,4.427027778,1,15.94083333
1392,69Ups,Tau,4,26,18.5,22,48,49,4.28,0.26,4.438472222,1,22.81361111
1393,43,Eri,4,24,2.2,-34,1,1,3.96,1.49,4.400611111,-1,-34.01694444
1394,71,Tau,4,26,20.8,15,37,6,4.49,0.25,4.439111111,1,15.61833333
1395,Eta,Ret,4,21,53.3,-63,23,11,5.24,0.96,4.364805556,-1,-63.38638889
1396,73Pi,Tau,4,26,36.4,14,42,49,4.69,0.98,4.443444444,1,14.71361111
1397,,,4,26,21.1,8,35,25,6.06,0.02,4.439194444,1,8.590277778
1398,,,4,24,56.4,-34,45,28,6.55,0.44,4.415666667,-1,-34.75777778
1399,72,Tau,4,27,17.5,22,59,47,5.53,-0.1,4.454861111,1,22.99638889
1400,,,4,27,0.7,2,4,46,6.23,1.09,4.450194444,1,2.079444444
1401,,,4,33,30.7,72,31,43,5.94,0.3,4.558527778,1,72.52861111
1402,,,4,27,28.8,11,12,45,5.88,0.05,4.458,1,11.2125
1403,,,4,28,0.8,21,37,12,5.72,0.27,4.466888889,1,21.62
1404,,,4,25,19.1,-44,9,39,6.39,0.44,4.421972222,-1,-44.16083333
1405,,,4,24,12.2,-57,4,17,6.29,0.66,4.403388889,-1,-57.07138889
1406,,,4,28,51.9,30,21,41,6.4,0.52,4.481083333,1,30.36138889
1407,75,Tau,4,28,26.4,16,21,35,4.97,1.13,4.474,1,16.35972222
1408,76,Tau,4,28,23.4,14,44,27,5.9,0.32,4.473166667,1,14.74083333
1409,74Eps,Tau,4,28,37,19,10,49,3.53,1.01,4.476944444,1,19.18027778
1410,,,4,26,57,-24,4,53,6.11,0.14,4.449166667,-1,-24.08138889
1411,77The1,Tau,4,28,34.5,15,57,44,3.84,0.95,4.47625,1,15.96222222
1412,78The2,Tau,4,28,39.7,15,52,15,3.4,0.18,4.477694444,1,15.87083333
1413,,,4,28,3.6,1,51,31,6.15,1.02,4.467666667,1,1.858611111
1414,79,Tau,4,28,50.2,13,2,51,5.03,0.23,4.480611111,1,13.0475
1415,,,4,28,32.1,1,22,51,5.55,-0.1,4.475583333,1,1.380833333
1416,,,4,25,5.3,-61,14,18,5.94,1.54,4.418138889,-1,-61.23833333
1417,1,Cam,4,32,1.8,53,54,39,5.77,0.18,4.533833333,1,53.91083333
1418,,,4,27,6,-46,56,51,6.1,0.46,4.451666667,-1,-46.9475
1419,,,4,30,38.3,32,27,29,6.21,-0.04,4.510638889,1,32.45805556
1420,,,4,29,42.9,10,31,18,6.79,0.09,4.49525,1,10.52166667
1421,,,4,28,39,-19,27,30,5.96,1.22,4.4775,-1,-19.45833333
1422,80,Tau,4,30,8.6,15,38,17,5.58,0.32,4.502388889,1,15.63805556
1423,,,4,29,6.9,-13,2,54,5.6,-0.23,4.48525,-1,-13.04833333
1424,,,4,31,24,40,0,37,6.26,0.04,4.523333333,1,40.01027778
1425,,,4,30,2.4,10,15,45,6.48,1.03,4.500666667,1,10.2625
1426,Del,Men,4,17,59.1,-80,12,50,5.69,0.84,4.29975,-1,-80.21388889
1427,,,4,30,33.7,16,11,38,4.78,0.17,4.509361111,1,16.19388889
1428,81,Tau,4,30,38.9,15,41,31,5.48,0.26,4.510805556,1,15.69194444
1429,,,4,28,9.4,-41,57,36,6.44,1.64,4.469277778,-1,-41.96
1430,83,Tau,4,30,37.3,13,43,28,5.4,0.26,4.510361111,1,13.72444444
1431,,,4,30,9.7,-13,35,32,6.24,1,4.502694444,-1,-13.59222222
1432,85,Tau,4,31,51.8,15,51,6,6.02,0.34,4.531055556,1,15.85166667
1433,,,4,29,20,-46,30,55,6.16,1.06,4.488888889,-1,-46.51527778
1434,57,Per,4,33,24.9,43,3,50,6.09,0.38,4.556916667,1,43.06388889
1435,,,4,27,45.9,-62,31,15,5.75,1.01,4.46275,-1,-62.52083333
1436,,,4,32,4.8,5,24,36,6.39,0.42,4.534666667,1,5.41
1437,45,Eri,4,31,52.7,0,2,38,4.91,1.32,4.531305556,1,0.04388888889
1438,,,4,31,25.9,-13,38,42,6.21,0.12,4.523861111,-1,-13.645
1439,,,4,30,40.3,-35,39,13,5.96,1,4.511194444,-1,-35.65361111
1440,,,4,36,24.2,64,15,42,5.94,-0.03,4.606722222,1,64.26166667
1441,,,4,32,37.4,-3,12,33,5.81,-0.14,4.543722222,-1,-3.209166667
1442,,,4,33,32.9,18,1,0,6.25,0.07,4.559138889,1,18.01666667
1443,Del,Cae,4,30,50.1,-44,57,14,5.07,-0.19,4.513916667,-1,-44.95388889
1444,86Rho,Tau,4,33,50.9,14,50,40,4.65,0.25,4.564138889,1,14.84444444
1445,,,4,34,38,28,57,40,5.88,-0.06,4.577222222,1,28.96111111
1446,,,4,33,48.1,9,24,47,6.01,1.06,4.563361111,1,9.413055556
1447,,,4,33,22,-10,47,9,6.06,1.38,4.556111111,-1,-10.78583333
1448,,,4,34,8.3,5,34,7,5.68,0.05,4.568972222,1,5.568611111
1449,46,Eri,4,33,54.8,-6,44,20,5.72,-0.13,4.565222222,-1,-6.738888889
1450,,,4,34,14.2,-6,50,16,6.09,1.38,4.570611111,-1,-6.837777778
1451,47,Eri,4,34,11.6,-8,13,53,5.11,1.7,4.569888889,-1,-8.231388889
1452,,,4,34,11.7,-8,58,13,5.26,1.47,4.569916667,-1,-8.970277778
1453,50Ups1,Eri,4,33,30.6,-29,46,0,4.51,0.98,4.5585,-1,-29.76666667
1454,58,Per,4,36,41.4,41,15,53,4.25,1.22,4.6115,1,41.26472222
1455,,,4,35,42.7,19,52,54,6.36,,4.595194444,1,19.88166667
1456,Nu,Men,4,20,57.9,-81,34,48,5.79,0.35,4.349416667,-1,-81.58
1457,87Alp,Tau,4,35,55.2,16,30,33,0.85,1.54,4.598666667,1,16.50916667
1458,88,Tau,4,35,39.3,10,9,39,4.25,0.18,4.59425,1,10.16083333
1459,,,4,36,29.2,23,20,27,6.02,0.38,4.608111111,1,23.34083333
1460,,,4,35,14,-9,44,12,6.37,0.11,4.587222222,-1,-9.736666667
1461,,,4,35,0.5,-19,55,14,6.13,1.17,4.583472222,-1,-19.92055556
1462,,,4,36,1.6,-3,36,43,6.33,-0.1,4.600444444,-1,-3.611944444
1463,48Nu,Eri,4,36,19.1,-3,21,9,3.93,-0.21,4.605305556,-1,-3.3525
1464,52Ups2,Eri,4,35,33,-30,33,44,3.82,0.98,4.5925,-1,-30.56222222
1465,Alp,Dor,4,33,59.8,-55,2,42,3.27,-0.1,4.566611111,-1,-55.045
1466,2,Cam,4,39,58.1,53,28,23,5.35,0.32,4.666138889,1,53.47305556
1467,3,Cam,4,39,54.7,53,4,47,5.05,1.07,4.665194444,1,53.07972222
1468,,,4,46,0.3,76,36,40,6.49,0.51,4.76675,1,76.61111111
1469,,,4,37,13.7,0,59,54,5.31,-0.12,4.620472222,1,0.9983333333
1470,,,4,38,29.6,26,56,24,6.47,,4.641555556,1,26.94
1471,,,4,38,15.8,20,41,5,5.92,-0.05,4.637722222,1,20.68472222
1472,89,Tau,4,38,9.4,16,2,0,5.79,0.31,4.635944444,1,16.03333333
1473,90,Tau,4,38,9.5,12,30,39,4.27,0.12,4.635972222,1,12.51083333
1474,51,Eri,4,37,36.1,-2,28,24,5.23,0.28,4.626694444,-1,-2.473333333
1475,,,4,33,34,-62,49,25,5.79,1.04,4.559444444,-1,-62.82361111
1476,,,4,36,50.9,-30,43,0,6.3,-0.1,4.614138889,-1,-30.71666667
1477,,,4,39,23.1,25,13,6,6.22,0.16,4.656416667,1,25.21833333
1478,91Sig1,Tau,4,39,9.2,15,47,59,5.07,0.15,4.652555556,1,15.79972222
1479,92Sig2,Tau,4,39,16.5,15,55,5,4.69,0.15,4.654583333,1,15.91805556
1480,,,4,39,6.2,7,52,15,5.39,0.26,4.651722222,1,7.870833333
1481,53,Eri,4,38,10.8,-14,18,14,3.87,1.09,4.636333333,-1,-14.30388889
1482,,,4,41,24.1,48,18,3,5.67,-0.02,4.690027778,1,48.30083333
1483,,,4,38,53.6,-12,7,23,5.01,0.07,4.648222222,-1,-12.12305556
1484,93,Tau,4,40,3.4,12,11,52,5.46,-0.12,4.667611111,1,12.19777778
1485,,,4,22,50.9,-82,53,57,6.76,0.2,4.380805556,-1,-82.89916667
1486,,,4,43,18.1,59,31,15,6.5,,4.721694444,1,59.52083333
1487,,,4,39,19.7,-14,21,33,5.45,1.06,4.655472222,-1,-14.35916667
1488,,,4,39,47.2,-1,3,10,6.1,0.94,4.663111111,-1,-1.052777778
1489,,,4,41,50.3,38,16,49,5.99,0.57,4.697305556,1,38.28027778
1490,,,4,41,19.8,28,36,54,5.78,-0.03,4.688833333,1,28.615
1491,,,4,48,50.3,75,56,28,6.06,0.28,4.813972222,1,75.94111111
1492,,,4,36,45.6,-62,4,39,5.4,1.58,4.612666667,-1,-62.0775
1493,,,4,43,21.6,49,58,26,5.87,0.02,4.722666667,1,49.97388889
1494,59,Per,4,42,54.3,43,21,54,5.29,0,4.715083333,1,43.365
1495,,,4,40,6.8,-24,28,57,5.58,0.92,4.668555556,-1,-24.4825
1496,54,Eri,4,40,26.5,-19,40,18,4.32,1.61,4.674027778,-1,-19.67166667
1497,94Tau,Tau,4,42,14.7,22,57,25,4.28,-0.13,4.704083333,1,22.95694444
1498,,,4,39,4.3,-51,40,22,6.44,1.32,4.651194444,-1,-51.67277778
1499,95,Tau,4,43,13.8,24,5,20,6.13,0.54,4.7205,1,24.08888889
1500,,,4,44,12.9,40,47,13,6.08,0.06,4.736916667,1,40.78694444
1501,,,4,43,48.3,32,51,55,6.45,,4.730083333,1,32.86527778
1502,Alp,Cae,4,40,33.7,-41,51,50,4.45,0.34,4.676027778,-1,-41.86388889
1503,Bet,Cae,4,42,3.5,-37,8,40,5.05,0.37,4.700972222,-1,-37.14444444
1504,,,4,40,18.3,-58,56,37,6.53,0.68,4.67175,-1,-58.94361111
1505,55,Eri,4,43,34.6,-8,47,37,6.82,0.39,4.726277778,-1,-8.793611111
1506,55,Eri,4,43,35.1,-8,47,46,6.7,0.92,4.726416667,-1,-8.796111111
1507,,,4,44,25.8,11,8,46,5.4,0.25,4.7405,1,11.14611111
1508,56,Eri,4,44,5.3,-8,30,13,5.9,-0.11,4.734805556,-1,-8.503611111
1509,,,4,43,9.3,-30,45,56,5.68,1.41,4.71925,-1,-30.76555556
1510,,,4,50,36.4,70,56,30,6.37,-0.08,4.843444444,1,70.94166667
1511,4,Cam,4,48,0.3,56,45,26,5.3,0.25,4.800083333,1,56.75722222
1512,,,4,45,42.5,23,37,41,6.35,0.06,4.761805556,1,23.62805556
1513,,,4,44,8,-18,40,0,5.53,0.02,4.735555556,-1,-18.66666667
1514,,,4,46,44.4,40,18,46,5.97,0.93,4.779,1,40.31277778
1515,,,4,48,7,55,36,9,6.26,,4.801944444,1,55.6025
1516,Lam,Pic,4,42,46.4,-50,28,53,5.31,0.98,4.712888889,-1,-50.48138889
1517,,,4,46,16.8,18,44,6,6.01,1.21,4.771333333,1,18.735
1518,,,4,43,44.2,-41,3,53,6.25,1.46,4.728944444,-1,-41.06472222
1519,,,4,46,1.7,11,42,20,5.37,0.19,4.767138889,1,11.70555556
1520,57Mu,Eri,4,45,30.1,-3,15,17,4.02,-0.15,4.758361111,-1,-3.254722222
1521,,,4,45,4.2,-21,17,1,5.72,1.47,4.751166667,-1,-21.28361111
1522,,,4,46,24.1,-2,57,16,6.33,0.04,4.773361111,-1,-2.954444444
1523,,,5,0,20.7,81,11,38,5.07,1.28,5.00575,1,81.19388889
1524,,,4,45,49.6,-34,0,18,6.86,0,4.763777778,-1,-34.005
1525,,,4,46,25.8,-28,5,15,6.19,0.19,4.773833333,-1,-28.0875
1526,,,4,45,55.4,-39,21,24,6.05,1.07,4.765388889,-1,-39.35666667
1527,,,4,52,5.2,63,30,19,5.44,1.57,4.868111111,1,63.50527778
1528,,,4,49,19,32,35,18,5.86,0.24,4.821944444,1,32.58833333
1529,,,4,49,12.8,31,26,14,5.58,1.12,4.820222222,1,31.43722222
1530,Kap,Dor,4,44,21.1,-59,43,58,5.27,0.2,4.739194444,-1,-59.73277778
1531,,,4,38,21.7,-77,39,22,6.05,1.1,4.639361111,-1,-77.65611111
1532,58,Eri,4,47,36.3,-16,56,4,5.51,0.63,4.793416667,-1,-16.93444444
1533,,,4,49,54.6,37,29,18,4.88,1.44,4.831833333,1,37.48833333
1534,,,4,48,44.6,3,35,18,6.03,1.19,4.812388889,1,3.588333333
1535,,,4,51,9.3,48,44,27,5.66,0.99,4.852583333,1,48.74083333
1536,,,4,48,36.3,-5,40,26,5.78,0.62,4.810083333,-1,-5.673888889
1537,96,Tau,4,49,44.1,15,54,15,6.08,1.6,4.828916667,1,15.90416667
1538,59,Eri,4,48,32.5,-16,19,46,5.77,0.55,4.809027778,-1,-16.32944444
1539,Zet,Cae,4,47,49.6,-30,1,13,6.37,1.07,4.797111111,-1,-30.02027778
1540,,,4,44,57.9,-63,13,47,6.46,1.08,4.749416667,-1,-63.22972222
1541,Mu,Men,4,43,3.9,-70,55,52,5.54,-0.12,4.71775,-1,-70.93111111
1542,9Alp,Cam,4,54,3,66,20,34,4.29,0.03,4.900833333,1,66.34277778
1543,1Pi3,Ori,4,49,50.4,6,57,41,3.19,0.45,4.830666667,1,6.961388889
1544,2Pi2,Ori,4,50,36.7,8,54,1,4.36,0.01,4.843527778,1,8.900277778
1545,,,4,49,42.2,-13,46,11,6.26,0.44,4.828388889,-1,-13.76972222
1546,,,4,53,9.8,52,50,27,6.41,,4.886055556,1,52.84083333
1547,97,Tau,4,51,22.5,18,50,23,5.1,0.21,4.85625,1,18.83972222
1548,,,4,48,33.8,-43,58,48,6.72,0.95,4.809388889,-1,-43.98
1549,60,Eri,4,50,11.6,-16,13,2,5.03,0.98,4.836555556,-1,-16.21722222
1550,,,4,52,47.8,42,35,12,5.71,0.11,4.879944444,1,42.58666667
1551,2,Aur,4,52,38,36,42,11,4.78,1.41,4.877222222,1,36.70305556
1552,3Pi4,Ori,4,51,12.4,5,36,18,3.69,-0.17,4.853444444,1,5.605
1553,,,4,51,43.4,9,58,30,6.11,0.08,4.862055556,1,9.975
1554,,,4,52,47.1,27,53,51,5.97,0.37,4.87975,1,27.8975
1555,5,Cam,4,55,3.1,55,15,33,5.52,0.04,4.917527778,1,55.25916667
1556,4Omi1,Ori,4,52,32,14,15,2,4.74,1.84,4.875555556,1,14.25055556
1557,,,4,50,16.2,-41,19,15,6.07,0.37,4.837833333,-1,-41.32083333
1558,,,4,54,51.3,44,3,39,6.08,-0.02,4.91425,1,44.06083333
1559,,,4,51,28.2,-34,54,23,5.86,0.08,4.857833333,-1,-34.90638889
1560,61Ome,Eri,4,52,53.7,-5,27,10,4.39,0.25,4.881583333,-1,-5.452777778
1561,,,4,56,7.1,52,52,10,5.75,0.11,4.935305556,1,52.86944444
1562,5,Ori,4,53,22.8,2,30,29,5.33,1.64,4.889666667,1,2.508055556
1563,Iot,Pic,4,50,55.2,-53,27,41,5.61,0.33,4.848666667,-1,-53.46138889
1564,Iot,Pic,4,50,56.3,-53,27,35,6.42,,4.848972222,-1,-53.45972222
1565,,,4,53,55.8,1,34,10,6.61,0.04,4.898833333,1,1.569444444
1566,,,4,54,58.3,19,29,7,6.37,0.29,4.916194444,1,19.48527778
1567,8Pi5,Ori,4,54,15.1,2,26,26,3.72,-0.18,4.904194444,1,2.440555556
1568,7,Cam,4,57,17.2,53,45,8,4.47,-0.02,4.954777778,1,53.75222222
1569,6,Ori,4,54,46.9,11,25,34,5.19,0.12,4.913027778,1,11.42611111
1570,7Pi1,Ori,4,54,53.8,10,9,3,4.65,0.09,4.914944444,1,10.15083333
1571,,,4,54,47.8,7,46,45,5.33,1.22,4.913277778,1,7.779166667
1572,,,5,2,20.1,74,16,9,6.06,1.57,5.038916667,1,74.26916667
1573,,,4,56,19.9,36,10,8,6.07,0.41,4.938861111,1,36.16888889
1574,,,4,54,50.7,0,28,3,5.99,-0.12,4.914083333,1,0.4675
1575,,,4,56,15.6,24,35,32,6.37,0.33,4.937666667,1,24.59222222
1576,,,4,55,50.3,15,2,24,5.81,-0.08,4.930638889,1,15.04
1577,3Iot,Aur,4,56,59.6,33,9,58,2.69,1.53,4.949888889,1,33.16611111
1578,,,4,55,58.4,5,23,57,6.5,0.02,4.932888889,1,5.399166667
1579,,,4,55,6.8,-16,44,26,5.7,0.96,4.918555556,-1,-16.74055556
1580,9Omi2,Ori,4,56,22.3,13,30,52,4.07,1.15,4.939527778,1,13.51444444
1581,,,4,55,18.6,-16,25,4,5.72,0.88,4.921833333,-1,-16.41777778
1582,62,Eri,4,56,24.2,-5,10,17,5.51,-0.13,4.940055556,-1,-5.171388889
1583,,,4,55,30.2,-25,43,40,6.72,0.27,4.925055556,-1,-25.72777778
1584,,,4,54,54.8,-39,37,43,6.1,1.42,4.915222222,-1,-39.62861111
1585,,,4,57,22.3,17,9,13,5.48,1.31,4.956194444,1,17.15361111
1586,99,Tau,4,57,48.7,23,56,55,5.79,1.11,4.963527778,1,23.94861111
1587,,,5,4,13,73,45,50,6.66,,5.070277778,1,73.76388889
1588,8,Cam,4,59,46.3,53,9,20,6.08,1.46,4.996194444,1,53.15555556
1589,,,5,4,39.8,74,4,1,5.96,,5.077722222,1,74.06694444
1590,98,Tau,4,58,9.4,25,3,1,5.81,0,4.969277778,1,25.05027778
1591,,,4,57,17.2,-1,4,2,6.23,0.42,4.954777778,-1,-1.067222222
1592,4Ome,Aur,4,59,15.4,37,53,25,4.94,0.04,4.987611111,1,37.89027778
1593,,,5,1,35.9,61,4,41,6.03,0.41,5.026638889,1,61.07805556
1594,,,5,2,50.4,66,49,22,6.19,0.48,5.047333333,1,66.82277778
1595,,,4,57,44.8,-14,13,53,6.15,-0.21,4.962444444,-1,-14.23138889
1596,,,4,58,10.8,-2,12,45,6.35,0.1,4.969666667,-1,-2.2125
1597,,,4,54,53,-58,32,50,6.12,0.44,4.914722222,-1,-58.54722222
1598,,,4,53,30.5,-66,40,32,6.41,1.63,4.891805556,-1,-66.67555556
1599,5,Aur,5,0,18.3,39,23,41,5.95,0.41,5.005083333,1,39.39472222
1600,,,4,58,59.4,14,32,34,6.09,0.04,4.983166667,1,14.54277778
1601,10Pi6,Ori,4,58,32.9,1,42,51,4.47,1.4,4.975805556,1,1.714166667
1602,6,Aur,5,0,23.2,39,39,18,6.58,,5.006444444,1,39.655
1603,10Bet,Cam,5,3,25.1,60,26,32,4.03,0.92,5.056972222,1,60.44222222
1604,,,4,59,1.3,-16,22,33,5.66,0.43,4.983694444,-1,-16.37583333
1605,7Eps,Aur,5,1,58.1,43,49,24,2.99,0.54,5.032805556,1,43.82333333
1606,,,4,53,5.5,-72,24,27,6.28,0.52,4.884861111,-1,-72.4075
1607,,,4,59,36.5,-14,48,21,7.71,5.74,4.993472222,-1,-14.80583333
1608,63,Eri,4,59,50.4,-10,15,48,5.38,0.8,4.997333333,-1,-10.26333333
1609,,,5,0,32.6,3,36,55,7.03,,5.009055556,1,3.615277778
1610,,,5,0,33.9,3,36,58,6.66,-0.07,5.009416667,1,3.616111111
1611,64,Eri,4,59,55.8,-12,32,15,4.79,0.26,4.998833333,-1,-12.5375
1612,8Zet,Aur,5,2,28.7,41,4,33,3.75,1.22,5.041305556,1,41.07583333
1613,,,5,0,39.8,-2,3,56,6.32,0.28,5.011055556,-1,-2.065555556
1614,,,5,0,49,-5,45,12,6.22,1.06,5.013611111,-1,-5.753333333
1615,,,5,3,18.6,41,26,30,6.14,0.16,5.055166667,1,41.44166667
1616,,,5,31,48,85,56,19,6.51,0.32,5.53,1,85.93861111
1617,65Psi,Eri,5,1,26.3,-7,10,26,4.81,-0.19,5.023972222,-1,-7.173888889
1618,,,5,1,50.3,0,43,20,5.92,1.27,5.030638889,1,0.7222222222
1619,,,5,2,0,1,36,32,6.24,-0.04,5.033333333,1,1.608888889
16201,02Iot,Tau,5,3,5.7,21,35,24,4.64,0.16,5.051583333,1,21.59
1621,,,5,1,25.6,-20,3,7,4.91,-0.05,5.023777778,-1,-20.05194444
1622,11,Cam,5,6,8.5,58,58,21,5.08,-0.08,5.102361111,1,58.9725
1623,12,Cam,5,6,12.2,59,1,16,6.08,1.12,5.103388889,1,59.02111111
1624,,,5,6,29.7,61,10,12,6.04,1.37,5.10825,1,61.17
1625,,,5,2,45.5,-4,12,35,5.85,1.21,5.045972222,-1,-4.209722222
1626,,,5,4,14.5,30,29,41,6.14,1.21,5.070694444,1,30.49472222
1627,,,5,4,36.9,32,19,13,6.62,0.27,5.076916667,1,32.32027778
1628,,,5,2,9.8,-26,16,30,5.02,1.07,5.036055556,-1,-26.275
1629,Eta,Men,4,55,11.2,-74,56,13,5.47,1.52,4.919777778,-1,-74.93694444
1630,,,5,6,22,54,24,21,7.24,,5.106111111,1,54.40583333
1631,,,5,1,34.5,-39,43,5,6.03,0.88,5.02625,-1,-39.71805556
1632,,,5,4,37.9,27,41,46,6.6,0.24,5.077194444,1,27.69611111
